title,magnitude_min,magnitude_max,date_time,cdi,mmi,tsunami,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,sig
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.39,6.63,22-09-2021 09:57,strong,average,yes,us,0,0.993,114.0,mww,21.0,12.1598,-87.8542,"Jiquilillo, Nicaragua",,,684
"M 7.0 - Acapulco, Mexico",6.88,7.09,08-09-2021 01:47,very strong,very strong,yes,us,0,0.07,43.0,mww,20.0,16.9502,-99.7877,"Acapulco, Mexico",North America,Mexico,2504
M 7.1 - South Sandwich Islands region,6.98,7.24,22-08-2021 21:33,extremely light,moderate,yes,us,0,9.799,32.0,mww,6.0,-60.3026,-24.9992,South Sandwich Islands region,,Antarctica,776
M 6.6 - South Sandwich Islands region,6.48,6.73,22-08-2021 00:45,extremely light,light,yes,us,0,8.865,19.0,mww,7.0,-60.1023,-24.4608,South Sandwich Islands region,,Antarctica,670
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.79,7.03,18-08-2021 10:10,very strong,strong,yes,us,0,0.579,54.0,mww,93.0,-14.892,167.085,"Port-Olry, Vanuatu",Oceania,Vanuatu,741
M 6.9 - South Sandwich Islands region,6.83,7.0,16-08-2021 11:10,significant,moderate,yes,us,0,8.363,48.0,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,,,734
"M 7.2 - Nippes, Haiti",7.07,7.3,14-08-2021 12:29,extremely strong,very strong,yes,us,0,1.178,23.0,mww,10.0,18.3521,-73.4804,"Nippes, Haiti",North America,Haiti,2331
"M 6.9 - 136 km SE of Perryville, Alaska",6.76,7.04,14-08-2021 11:57,average,moderate,yes,ak,0,0.0,0.0,mww,33.3,55.2364,-157.707,"Perryville, Alaska",,,738
"M 6.9 - 125 km SE of Perryville, Alaska",6.82,6.99,14-08-2021 11:57,average,moderate,yes,us,0,1.173,36.0,mww,20.74,55.2657,-157.68,"Perryville, Alaska",,,738
M 8.1 - South Sandwich Islands region,8.0,8.23,12-08-2021 18:35,no intensity,strong,no,us,0,7.463,78.0,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,,,1009
M 7.5 - South Sandwich Islands region,7.38,7.63,12-08-2021 18:32,extremely strong,significant,yes,us,0,7.227,38.0,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,,,868
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.01,7.18,11-08-2021 17:46,extremely strong,strong,yes,us,0,1.273,25.0,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",,,846
"M 8.2 - 91 km ESE of Perryville, Alaska",8.08,8.31,29-07-2021 06:15,very strong,significant,yes,us,0,0.875,66.0,mww,46.66,55.4742,-157.917,"Perryville, Alaska",,,1237
"M 8.2 - 99 km SE of Perryville, Alaska",8.07,8.33,29-07-2021 06:15,very strong,strong,yes,ak,0,0.0,0.0,mww,35.0,55.3154,-157.829,"Perryville, Alaska",,,1252
"M 6.7 - 15 km S of Hukay, Philippines",6.6,6.82,23-07-2021 20:48,very strong,average,yes,us,0,8.139,12.0,mww,110.0,13.6989,120.713,"Hukay, Philippines",Asia,Philippines,935
"M 6.7 - 71 km S of Burica, Panama",6.58,6.8,21-07-2021 21:15,significant,significant,yes,us,0,1.395,61.0,mww,10.0,7.5904,-82.8813,"Burica, Panama",,,830
"M 6.5 - Kermadec Islands, New Zealand",6.38,6.62,20-06-2021 17:05,no intensity,moderate,yes,us,0,7.994,24.0,mww,25.0,-30.2144,-177.773,"Kermadec Islands, New Zealand",,,650
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.37,6.61,21-05-2021 22:13,average,strong,yes,us,0,4.518,44.0,mww,10.0,-16.4796,-177.356,"Alo, Wallis and Futuna",,,652
"M 7.3 - Southern Qinghai, China",7.22,7.41,21-05-2021 18:04,extremely strong,extremely strong,no,us,0,4.655,9.0,mww,10.0,34.5861,98.2551,"Southern Qinghai, China",Asia,People's Republic of China,1025
"M 6.7 - 260 km S of Sinabang, Indonesia",6.57,6.77,14-05-2021 06:33,very strong,moderate,no,us,0,1.487,37.0,mww,11.0,0.1684,96.6475,"Sinabang, Indonesia",,,698
M 6.7 - Mauritius - Reunion region,6.6,6.83,12-05-2021 14:05,extremely strong,light,no,us,0,10.669,45.0,mww,10.0,-17.2495,66.3745,Mauritius - Reunion region,,,694
M 6.9 - ,6.8,6.97,01-05-2021 01:27,strong,significant,yes,us,0,2.619,35.0,mww,43.0,38.2296,141.665,,Asia,Japan,919
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.38,6.62,25-04-2021 22:28,moderate,moderate,no,us,0,5.931,20.0,mww,246.0,-21.6857,-177.064,"Haveluloto, Tonga",,,651
"M 6.5 - 225 km WNW of Pangai, Tonga",6.42,6.58,24-04-2021 00:23,significant,moderate,no,us,0,10.405,19.0,mww,301.0,-18.9204,-176.235,"Pangai, Tonga",,,652
"M 7.0 - 30 km E of Ishinomaki, Japan",6.88,7.14,20-03-2021 09:09,strong,strong,yes,us,0,2.378,35.0,mww,43.0,38.4752,141.607,"Ishinomaki, Japan",Asia,Japan,1052
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.51,6.73,16-03-2021 18:38,average,average,yes,us,0,3.183,18.0,mww,13.23,54.7018,163.208,"Ust’-Kamchatsk Staryy, Russia",,,672
M 6.5 - Kermadec Islands region,6.4,6.63,04-03-2021 23:12,no intensity,moderate,no,us,0,11.764,25.0,mwb,24.0,-28.4792,-176.619,Kermadec Islands region,,,650
"M 8.1 - Kermadec Islands, New Zealand",7.97,8.2,04-03-2021 19:28,extremely strong,very strong,yes,us,0,0.739,21.0,mww,28.93,-29.7466,-177.224,"Kermadec Islands, New Zealand",,,1021
"M 7.4 - Kermadec Islands, New Zealand",7.31,7.49,04-03-2021 17:41,light,strong,yes,us,0,0.437,30.0,mww,43.0,-29.6131,-177.842,"Kermadec Islands, New Zealand",,,843
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.17,7.41,04-03-2021 13:27,strong,significant,yes,us,0,0.918,24.0,mww,10.0,-37.596,179.544,"Gisborne, New Zealand",,,932
"M 7.1 - 73 km ENE of Namie, Japan",6.96,7.24,13-02-2021 14:07,extremely strong,very strong,yes,us,0,3.085,11.0,mww,43.98,37.6856,141.992,"Namie, Japan",,,1612
M 7.7 - southeast of the Loyalty Islands,7.61,7.78,10-02-2021 13:19,extremely strong,moderate,yes,us,0,7.989,15.0,mww,10.0,-23.2787,171.489,the Loyalty Islands,,,918
M 6.9 - South Shetland Islands,6.76,7.03,23-01-2021 23:36,extremely strong,average,yes,us,0,1.55,16.0,mww,15.0,-61.8484,-55.559,South Shetland Islands,,Antarctica,739
"M 7.0 - 211 km SE of Pondaguitan, Philippines",6.93,7.07,21-01-2021 12:23,strong,average,yes,us,0,2.821,15.0,mww,80.0,5.0074,127.517,"Pondaguitan, Philippines",,,802
"M 6.7 - 29 km SSW of Turt, Mongolia",6.58,6.81,11-01-2021 21:32,very strong,very strong,no,us,0,2.043,22.0,mww,10.0,51.2407,100.443,"Turt, Mongolia",Asia,Mongolia,776
"M 6.7 - 146 km WNW of Corral, Chile",6.63,6.8,27-12-2020 21:39,average,average,yes,us,0,1.319,19.0,mww,10.0,-39.3264,-74.9067,"Corral, Chile",,,776
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",6.88,7.07,30-10-2020 11:51,very strong,strong,no,us,0,1.518,18.0,mww,21.0,37.8973,26.7953,"Néon Karlovásion, Greece",Europe,Greece,1527
"M 7.6 - 99 km SE of Sand Point, Alaska",7.49,7.72,19-10-2020 20:54,extremely strong,strong,yes,us,0,0.23,36.0,mww,28.37,54.662,-159.675,"Sand Point, Alaska",North America,United States of America,1165
M 6.9 - central Mid-Atlantic Ridge,6.8,6.99,18-09-2020 21:43,no intensity,light,yes,us,0,11.255,16.0,mww,10.0,0.9604,-26.8332,central Mid-Atlantic Ridge,,,732
"M 6.5 - 94 km NW of Vallenar, Chile",6.37,6.62,01-09-2020 21:09,significant,significant,no,us,0,0.388,49.0,mww,16.0,-27.9285,-71.3937,"Vallenar, Chile",,,674
"M 6.8 - 86 km NW of Vallenar, Chile",6.68,6.92,01-09-2020 04:09,significant,strong,yes,us,0,0.312,69.0,mww,21.0,-28.013,-71.1958,"Vallenar, Chile",,Chile,824
M 6.5 - central Mid-Atlantic Ridge,6.38,6.63,30-08-2020 21:20,moderate,average,no,us,0,15.394,31.0,mww,10.0,0.8696,-29.7046,central Mid-Atlantic Ridge,,,651
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.83,7.02,21-08-2020 04:09,moderate,light,no,us,0,2.267,20.0,mww,624.0,-6.6704,123.493,"Katabu, Indonesia",,Indonesia,749
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.8,7.01,18-08-2020 22:29,moderate,moderate,no,us,0,1.716,25.0,mww,26.0,-4.2791,101.215,"Bengkulu, Indonesia",,Indonesia,735
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.72,6.89,18-08-2020 22:23,average,moderate,no,us,0,1.816,34.0,mww,22.0,-4.3724,101.095,"Bengkulu, Indonesia",,Indonesia,716
"M 6.6 - 13 km E of San Pedro, Philippines",6.47,6.7,18-08-2020 00:03,extremely strong,very strong,yes,us,0,5.128,14.0,mww,10.0,12.0065,124.13,"San Pedro, Philippines",,Philippines,784
"M 7.8 - 99 km SSE of Perryville, Alaska",7.67,7.89,22-07-2020 06:12,extremely strong,strong,yes,us,0,0.621,60.0,mww,28.0,55.1079,-158.477,"Perryville, Alaska",,,1111
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",6.92,7.1,17-07-2020 02:50,significant,strong,yes,us,0,1.671,18.0,mww,73.0,-7.847,147.755,"Popondetta, Papua New Guinea",,Papua New Guinea,820
"M 6.6 - 97 km N of Batang, Indonesia",6.52,6.7,06-07-2020 22:54,moderate,very light,no,us,0,1.458,14.0,mww,533.76,-5.6368,110.678,"Batang, Indonesia",,Indonesia,684
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.32,7.52,23-06-2020 15:29,very strong,very strong,yes,us,0,0.151,30.0,mww,20.0,15.9163,-95.9533,"Santa María Xadani, Mexico",North America,Mexico,1494
M 7.4 - south of the Kermadec Islands,7.33,7.51,18-06-2020 12:49,strong,strong,yes,us,0,4.035,23.0,mww,10.0,-33.2938,-177.838,the Kermadec Islands,,,873
"M 6.6 - 130 km WNW of Naze, Japan",6.47,6.73,13-06-2020 15:51,average,moderate,yes,us,0,2.015,18.0,mww,165.0,28.9386,128.262,"Naze, Japan",,,734
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.69,6.89,03-06-2020 07:35,significant,significant,yes,us,0,1.164,21.0,mww,112.0,-23.2966,-68.4204,"San Pedro de Atacama, Chile",South America,Chile,835
"M 6.5 - Monte Cristo Range, NV Earthquake",6.42,6.58,15-05-2020 11:03,strong,very strong,no,nn,27,0.357,55.79,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States of America,1320
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.49,6.69,12-05-2020 22:41,moderate,significant,yes,us,0,3.403,12.0,mww,107.0,-12.0662,166.648,"Lata, Solomon Islands",,,671
M 6.8 - Banda Sea,6.7,6.87,06-05-2020 13:53,moderate,significant,no,us,0,1.921,16.0,mww,96.0,-6.7762,129.785,Banda Sea,,Indonesia,738
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.41,6.63,02-05-2020 12:51,strong,significant,no,us,0,1.293,19.0,mww,10.0,34.1818,25.7101,"Néa Anatolí, Greece",,,678
"M 6.5 - Stanley, Idaho",6.42,6.61,31-03-2020 23:52,very strong,very strong,no,us,0,0.885,31.0,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States of America,1410
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.42,7.6,25-03-2020 02:49,significant,average,yes,us,0,4.109,12.0,mww,57.8,48.9638,157.695,"Severo-Kuril’sk, Russia",,,879
"M 7.0 - 95 km ENE of Kuril’sk, Russia",6.92,7.12,13-02-2020 10:33,average,significant,yes,us,0,4.501,25.0,mww,143.0,45.6161,148.959,"Kuril’sk, Russia",Asia,Russia,770
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.58,7.81,28-01-2020 19:10,extremely strong,significant,yes,us,0,1.657,26.0,mww,14.86,19.4193,-78.756,"Lucea, Jamaica",,,1812
"M 6.7 - 13 km N of Do?anyol, Turkey",6.57,6.82,24-01-2020 17:55,very strong,extremely strong,no,us,0,0.87,49.0,mww,10.0,38.4312,39.0609,"Do?anyol, Turkey",Asia,Turkey,1247
"M 6.8 - 7 km S of Magsaysay, Philippines",6.68,6.9,15-12-2019 06:11,extremely strong,strong,yes,us,0,0.546,39.0,mww,18.0,6.6969,125.174,"Magsaysay, Philippines",,Philippines,825
"M 7.1 - 138km E of Bitung, Indonesia",6.97,7.18,14-11-2019 16:17,significant,significant,yes,us,0,1.271,11.0,mww,33.0,1.6213,126.416,"Bitung, Indonesia",,Indonesia,799
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.39,6.63,08-11-2019 10:44,no intensity,very light,no,us,0,4.765,25.0,mww,577.0,-21.9449,-179.511,"Ndoi Island, Fiji",,,650
"M 6.6 - 136 km W of Neiafu, Tonga",6.48,6.68,04-11-2019 22:43,moderate,moderate,yes,us,0,5.086,48.0,mww,10.0,-18.5747,-175.272,"Neiafu, Tonga",,,673
"M 6.5 - 2km ESE of Kisante, Philippines",6.39,6.61,31-10-2019 01:11,extremely strong,strong,yes,us,0,0.428,19.0,mww,10.0,6.9098,125.178,"Kisante, Philippines",,Philippines,733
"M 6.6 - 10 km NE of Columbio, Philippines",6.52,6.71,29-10-2019 01:04,extremely strong,strong,yes,us,0,0.646,24.0,mww,15.0,6.7567,125.008,"Columbio, Philippines",,Philippines,780
"M 6.7 - 70 km WSW of Constitución, Chile",6.61,6.81,29-09-2019 15:57,strong,significant,yes,us,0,1.269,98.0,mww,11.0,-35.4758,-73.163,"Constitución, Chile",,,844
"M 6.5 - 11km S of Kairatu, Indonesia",6.38,6.62,25-09-2019 23:46,strong,strong,yes,us,0,3.909,15.0,mww,12.26,-3.4528,128.37,"Kairatu, Indonesia",,Indonesia,656
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.51,6.68,01-09-2019 15:54,very light,light,yes,us,0,4.121,19.0,mww,591.0,-20.3641,-178.57,"Ndoi Island, Fiji",,Fiji,671
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.5,6.69,27-08-2019 23:55,no intensity,moderate,yes,us,0,12.896,19.0,mww,16.0,-60.2152,-26.5801,"Bristol Island, South Sandwich Islands",,United Kingdom of Great Britain and Northern Ireland (the),670
"M 6.9 - 152 km SW of Labuan, Indonesia",6.79,7.03,02-08-2019 12:03,moderate,significant,no,us,0,2.839,23.0,mww,49.0,-7.2822,104.791,"Labuan, Indonesia",,,875
"M 6.8 - 96 km SW of San Antonio, Chile",6.71,6.88,01-08-2019 18:28,significant,significant,yes,us,0,0.817,35.0,mww,25.0,-34.2364,-72.3102,"San Antonio, Chile",,,947
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.47,6.7,31-07-2019 15:02,no intensity,moderate,yes,us,0,6.024,30.0,mww,181.0,-16.1985,167.998,"Lakatoro, Vanuatu",,Vanuatu,670
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.12,7.32,14-07-2019 09:10,strong,strong,yes,us,0,1.504,38.0,mww,18.98,-0.5858,128.034,"Laiwui, Indonesia",,Indonesia,809
"M 6.6 - 200km W of Broome, Australia",6.51,6.71,14-07-2019 05:39,average,average,no,us,0,2.978,32.0,mww,10.0,-18.2242,120.358,"Broome, Australia",,,791
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.82,6.99,07-07-2019 15:08,strong,average,no,us,0,1.205,21.0,mww,35.0,0.5126,126.189,"Kota Ternate, Indonesia",,Indonesia,747
"M 7.1 - 18km W of Searles Valley, CA",6.98,7.22,06-07-2019 03:19,extremely strong,extremely strong,no,ci,77,0.04616,43.0,mw,8.0,35.7695,-117.599,"Searles Valley, CA",North America,United States of America,1646
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.21,7.41,24-06-2019 02:53,moderate,significant,yes,us,0,2.629,16.0,mww,212.0,-6.4078,129.169,"Saumlaki, Indonesia",,Indonesia,952
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.19,7.39,15-06-2019 22:55,very strong,significant,yes,us,0,1.402,11.0,mww,46.0,-30.6441,-178.1,"L'Esperance Rock, New Zealand",,,830
"M 6.6 - 32 km S of La Libertad, El Salvador",6.5,6.73,30-05-2019 09:03,strong,significant,yes,us,0,1.193,22.0,mww,57.92,13.1994,-89.3056,"La Libertad, El Salvador",,,886
"M 8.0 - 78 km NE of Navarro, Peru",7.92,8.12,26-05-2019 07:41,extremely strong,very strong,yes,us,0,3.18,17.0,mww,122.57,-5.8119,-75.2697,"Navarro, Peru",South America,Peru,1890
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.5,7.68,14-05-2019 12:58,strong,strong,yes,us,0,0.453,16.0,mww,10.0,-4.051,152.597,"Namatanai, Papua New Guinea",,Papua New Guinea,929
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",6.96,7.21,06-05-2019 21:19,strong,significant,yes,us,0,2.514,16.0,mww,146.0,-6.9746,146.449,"Bulolo, Papua New Guinea",,Papua New Guinea,826
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.7,6.9,12-04-2019 11:40,average,significant,yes,us,0,0.791,28.0,mww,15.46,-1.8146,122.58,"Luwuk, Indonesia",,Indonesia,717
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.38,6.57,09-04-2019 17:53,no intensity,average,yes,us,0,7.568,18.0,mww,38.0,-58.6262,-25.304,"Bristol Island, South Sandwich Islands",,,650
"M 7.0 - 22 km NNE of Azángaro, Peru",6.89,7.07,01-03-2019 08:50,strong,moderate,yes,us,0,2.501,42.0,mww,267.0,-14.7131,-70.1546,"Azángaro, Peru",South America,Peru,869
